City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ceres,37.5949,-120.9577,53.92,40,40,17.27,US,1680574081
84,lavrentiya,65.5833,-171.0,4.12,82,77,7.29,RU,1680574082
85,mahebourg,-20.4081,57.7,75.25,82,83,7.47,MU,1680574082
86,lagoa,39.05,-27.9833,58.26,69,100,10.11,PT,1680574083
87,sitka,57.0531,-135.33,44.49,57,0,5.75,US,1680574084
88,geraldton,-28.7667,114.6,73.81,64,75,18.41,AU,1680574085
89,banjar,-8.19,114.9675,75.99,93,100,2.46,ID,1680574085
90,khorinsk,52.1657,109.7726,28.2,36,69,13.58,RU,1680574086
91,hobart,-42.8794,147.3294,68.05,53,20,14.97,AU,1680573855
92,wasilla,61.5814,-149.4394,37.06,50,20,4.61,US,1680574086
93,ornskoldsvik,63.2909,18.7153,23.95,93,20,4.61,SE,1680574087
94,codrington,-38.2667,141.9667,65.79,57,100,6.04,AU,1680574087
95,asau,46.4333,26.4,33.28,97,100,6.93,RO,1680574088
96,sola,-13.8833,167.55,83.1,73,100,16.11,VU,1680574088
97,castro,-24.7911,-50.0119,59.05,87,1,3.49,BR,1680574089
98,sandwick,60.0,-1.25,44.42,81,100,11.5,GB,1680574090
99,kenai,60.5544,-151.2583,32.14,79,100,9.22,US,1680574090
100,arraial do cabo,-22.9661,-42.0278,75.33,74,100,10.13,BR,1680574091
101,arlit,18.7369,7.3853,77.86,6,99,8.16,NE,1680574091
102,moroto,2.5345,34.6666,66.16,82,100,0.47,UG,1680574092
103,kaitangata,-46.2817,169.8464,64.92,55,41,6.38,NZ,1680574092
104,laguna,38.421,-121.4238,55.69,28,40,11.5,US,1680574093
105,cabo san lucas,22.8909,-109.9124,82.62,63,100,14.54,MX,1680573555
106,leningradskiy,69.3833,178.4167,-6.18,87,6,4.09,RU,1680574093
107,dixon,38.4455,-121.8233,55.54,31,0,12.66,US,1680574093
108,burla,21.5,83.8667,82.51,31,3,2.24,IN,1680574093
109,mujiayingzi,42.1167,118.7833,36.64,30,100,13.65,CN,1680574094
110,sisimiut,66.9395,-53.6735,4.98,74,3,12.35,GL,1680574094
111,saint-francois,46.4154,3.9054,35.67,80,0,8.05,FR,1680573953
112,karratha,-20.7377,116.8463,86.63,56,47,3.94,AU,1680574095
113,dandong,40.1292,124.3947,63.03,33,100,3.76,CN,1680574096
114,garowe,8.4054,48.4845,75.06,76,13,9.84,SO,1680574096
115,sao filipe,14.8961,-24.4956,74.91,70,73,8.1,CV,1680574096
116,hithadhoo,-0.6,73.0833,82.36,69,32,8.34,MV,1680574097
117,sorland,67.667,12.6934,39.06,89,98,9.31,NO,1680574097
118,hua hin,12.5707,99.9588,89.01,74,6,2.21,TH,1680574098
119,avarua,-21.2078,-159.775,80.65,61,64,13.8,CK,1680573932
120,tamandare,-8.7597,-35.1047,77.9,80,62,4.27,BR,1680574098
121,hoquiam,46.9809,-123.8893,46.99,69,75,10.36,US,1680574099
122,hirara,24.8,125.2833,72.07,62,15,22.59,JP,1680574102
123,zhangjiakou,40.81,114.8794,43.61,68,100,7.63,CN,1680574102
124,upernavik,72.7868,-56.1549,-21.08,99,37,4.34,GL,1680574103
125,nizwa,22.9333,57.5333,64.94,23,45,1.59,OM,1680574103
126,newton stewart,54.9578,-4.4832,40.44,95,100,5.26,GB,1680574105
127,ankang,32.68,109.0172,54.09,74,100,2.75,CN,1680574105
128,ilulissat,69.2167,-51.1,-16.1,98,26,4.72,GL,1680574105
129,khatanga,71.9667,102.5,-21.42,93,100,12.26,RU,1680574106
130,mount gambier,-37.8333,140.7667,68.05,51,100,4.03,AU,1680574106
